U;I
0;10,134
8,859;9,981
13,304;9,868
19,172;9,722
24,706;9,614
27,483;9,476
28,83;9,329
32,126;9,192
35,064;9,132
36,211;9,068
36,364;8,992
36,458;8,905
36,527;8,805
36,596;8,727
36,666;8,639
36,731;8,568
36,833;8,396
36,899;8,316
36,942;8,223
37,041;8,051
37,087;7,97
37,137;7,893
37,166;7,81
37,219;7,738
37,265;7,661
37,298;7,577
37,833;6,642
38,269;5,767
38,659;4,954
38,995;4,219
39,285;3,558
39,531;2,95
39,753;2,415
39,938;1,934
40,1;1,516
40,24;1,157
40,356;0,854
40,45;0,599
40,66;0
